company,paid_maternity_leave,unpaid_maternity_leave,paid_paternity_leave,unpaid_paternity_leave,main_industry,sub_industry,avg_unpaid_leave,avg_paid_leave,avg_leave,paid_leave_discrepancy,unpaid_leave_discrepancy,paid_to_unpaid_leave_ratio
Robert Half,6.0,4.0,,,Business Services,Staffing and Outsourcing,4.0,6.0,5.0,,,1.5
Rochester Telemessaging Center,3.0,12.0,,,Business Services,Staffing and Outsourcing,12.0,3.0,7.5,,,0.25
Search Solution Group,12.0,6.0,,,Business Services,Staffing and Outsourcing,6.0,12.0,9.0,,,2.0
TaskUs,6.0,0.0,,,Business Services,Staffing and Outsourcing,0.0,6.0,3.0,,,
WilsonHCG,26.0,26.0,,,Business Services,Staffing and Outsourcing,26.0,26.0,26.0,,,1.0
Alight Solutions,8.0,2.0,,,Business Services,Technology Solutions,2.0,8.0,5.0,,,4.0
Allied Telecom Group,10.0,0.0,,,Business Services,Technology Solutions,0.0,10.0,5.0,,,
Bazaarvoice,12.0,0.0,,,Business Services,Technology Solutions,0.0,12.0,6.0,,,
Broadridge Financial Solutions Group,10.5,18.0,,,Business Services,Technology Solutions,18.0,10.5,14.25,,,0.5833333333333334
CareDox,12.0,1.0,,,Business Services,Technology Solutions,1.0,12.0,6.5,,,12.0
Clever Devices,4.0,4.0,,,Business Services,Technology Solutions,4.0,4.0,4.0,,,1.0
Galois,16.0,12.0,,,Business Services,Technology Solutions,12.0,16.0,14.0,,,1.3333333333333333
Paya,5.0,7.0,,,Business Services,Technology Solutions,7.0,5.0,6.0,,,0.7142857142857143
Pitney Bowes,8.0,0.0,,,Business Services,Technology Solutions,0.0,8.0,4.0,,,
Sprinklr,14.0,0.0,,,Business Services,Technology Solutions,0.0,14.0,7.0,,,
Taulia Inc.,16.0,8.0,,,Business Services,Technology Solutions,8.0,16.0,12.0,,,2.0
Thoughtworks,12.0,0.0,,,Business Services,Technology Solutions,0.0,12.0,6.0,,,
TodayTix,12.0,0.0,,,Business Services,Technology Solutions,0.0,12.0,6.0,,,
Sysdig,13.0,0.0,,,Computer and Network Security,,0.0,13.0,6.5,,,
Miro,12.0,,6.0,,Computer Software,,,9.0,9.0,6.0,,
General Electric,12.0,0.0,,,Conglomerate,,0.0,12.0,6.0,,,
Growmark,2.0,12.0,,,Conglomerate,,12.0,2.0,7.0,,,0.16666666666666666
Koch Industries,6.0,6.0,,,Conglomerate,,6.0,6.0,6.0,,,1.0
Newell Brands,12.0,3.0,,,Conglomerate,,3.0,12.0,7.5,,,4.0
"Reliance Industries, Ltd",52.0,24.0,,,Conglomerate,,24.0,52.0,38.0,,,2.1666666666666665
Siemens Industry Automation and Drive Technologies,9.5,0.0,,,Conglomerate,,0.0,9.5,4.75,,,
Textron Inc.,2.0,0.0,,,Conglomerate,,0.0,2.0,1.0,,,
Accenture,16.0,2.0,,,Consulting Services,,2.0,16.0,9.0,,,8.0
Alvarez & Marsal,12.0,0.0,,,Consulting Services,,0.0,12.0,6.0,,,
Arc Aspicio,6.0,13.0,,,Consulting Services,,13.0,6.0,9.5,,,0.46153846153846156
Artemis Connection,10.0,29.0,,,Consulting Services,,29.0,10.0,19.5,,,0.3448275862068966
AustinCSI,4.0,0.0,,,Consulting Services,,0.0,4.0,2.0,,,
BSR (Business for Social Responsibility),5.0,2.0,,,Consulting Services,,2.0,5.0,3.5,,,2.5
Capco,18.0,52.0,,,Consulting Services,,52.0,18.0,35.0,,,0.34615384615384615
Capgemini,14.0,4.0,,,Consulting Services,,4.0,14.0,9.0,,,3.5
Credera,6.0,0.0,,,Consulting Services,,0.0,6.0,3.0,,,
Dalberg,26.0,26.0,,,Consulting Services,,26.0,26.0,26.0,,,1.0
Dexis Consulting Group,5.0,0.0,,,Consulting Services,,0.0,5.0,2.5,,,
FTI Consulting,16.0,12.0,,,Consulting Services,,12.0,16.0,14.0,,,1.3333333333333333
GHD Group Pty Ltd,6.0,12.0,,,Consulting Services,,12.0,6.0,9.0,,,0.5
Guidehouse,9.0,17.0,,,Consulting Services,,17.0,9.0,13.0,,,0.5294117647058824
Heidrick & Struggles,16.0,12.0,,,Consulting Services,,12.0,16.0,14.0,,,1.3333333333333333
Indigo Ag,12.0,0.0,,,Consulting Services,,0.0,12.0,6.0,,,
Intentional Futures,8.0,6.0,,,Consulting Services,,6.0,8.0,7.0,,,1.3333333333333333
Jasper Colin Research,24.0,18.0,,,Consulting Services,,18.0,24.0,21.0,,,1.3333333333333333
Macro Consultants LLC,8.0,12.0,,,Consulting Services,,12.0,8.0,10.0,,,0.6666666666666666
Mead & Hunt,16.0,10.0,,,Consulting Services,,10.0,16.0,13.0,,,1.6
MSA Worldwide,8.0,0.0,,,Consulting Services,,0.0,8.0,4.0,,,
MTX Group Inc,52.0,0.0,,,Consulting Services,,0.0,52.0,26.0,,,
Navigant Consulting,6.0,6.0,,,Consulting Services,,6.0,6.0,6.0,,,1.0
Novantas Inc.,6.0,0.0,,,Consulting Services,,0.0,6.0,3.0,,,
NTT DATA Services,6.0,12.0,,,Consulting Services,,12.0,6.0,9.0,,,0.5
O.C. Tanner,6.0,12.0,,,Consulting Services,,12.0,6.0,9.0,,,0.5
OC&C Strategy Consultants,26.0,26.0,,,Consulting Services,,26.0,26.0,26.0,,,1.0
Oliver Wyman,18.0,6.0,,,Consulting Services,,6.0,18.0,12.0,,,3.0
"Perficient, Inc.",4.0,4.0,,,Consulting Services,,4.0,4.0,4.0,,,1.0
PwC,16.0,4.0,,,Consulting Services,,4.0,16.0,10.0,,,4.0
Resource Systems Group,4.0,12.0,,,Consulting Services,,12.0,4.0,8.0,,,0.3333333333333333
Search Discovery,7.0,6.0,,,Consulting Services,,6.0,7.0,6.5,,,1.1666666666666667
Stride Consulting,3.0,7.0,,,Consulting Services,,7.0,3.0,5.0,,,0.42857142857142855
"TCG, Inc",3.0,16.0,,,Consulting Services,,16.0,3.0,9.5,,,0.1875
True Group,6.0,12.0,,,Consulting Services,,12.0,6.0,9.0,,,0.5
West Monroe,12.0,0.0,,,Consulting Services,,0.0,12.0,6.0,,,
ZS,16.0,12.0,,,Consulting Services,,12.0,16.0,14.0,,,1.3333333333333333
Anheuser-Busch InBev,26.0,0.0,,,Consumer Packaged Goods,Beverages,0.0,26.0,13.0,,,
Beam Suntory,26.0,0.0,,,Consumer Packaged Goods,Beverages,0.0,26.0,13.0,,,
Boston Beer Company,3.0,10.0,,,Consumer Packaged Goods,Beverages,10.0,3.0,6.5,,,0.3
Molson Coors Brewing Company,14.0,0.0,,,Consumer Packaged Goods,Beverages,0.0,14.0,7.0,,,
Nestle Waters,14.0,10.0,,,Consumer Packaged Goods,Beverages,10.0,14.0,12.0,,,1.4
PepsiCo,6.0,6.0,,,Consumer Packaged Goods,Beverages,6.0,6.0,6.0,,,1.0
Pernod Ricard,12.0,0.0,,,Consumer Packaged Goods,Beverages,0.0,12.0,6.0,,,
