company,paid_maternity_leave,unpaid_maternity_leave,paid_paternity_leave,unpaid_paternity_leave,main_industry,sub_industry,avg_unpaid_leave,avg_paid_leave,avg_leave,paid_leave_discrepancy,unpaid_leave_discrepancy,paid_to_unpaid_leave_ratio
Avantor,4.0,0.0,,,Industrial,Materials,0.0,4.0,2.0,,,
HP Manufacturing,6.0,6.0,,,Industrial,Materials,6.0,6.0,6.0,,,1.0
Orica,12.0,0.0,,,Industrial,Materials,0.0,12.0,6.0,,,
W.L. Gore,12.0,12.0,,,Industrial,Materials,12.0,12.0,12.0,,,1.0
Grainger Industrial Supply,9.0,6.0,,,Industrial,Other,6.0,9.0,7.5,,,1.5
Hunter Douglas,6.0,6.0,,,Industrial,Other,6.0,6.0,6.0,,,1.0
United Rentals,6.0,7.5,,,Industrial,Other,7.5,6.0,6.75,,,0.8
Bloomberg,26.0,0.0,,,Information Services,Diversified,0.0,26.0,13.0,,,
Nielsen Holdings N.V.,9.0,3.0,,,Information Services,Diversified,3.0,9.0,6.0,,,3.0
RELX Group,13.0,20.0,,,Information Services,Diversified,20.0,13.0,16.5,,,0.65
WinBizSolutions,16.0,0.0,,,Information Services,Diversified,0.0,16.0,8.0,,,
Wolters Kluwer,2.0,6.0,,,Information Services,Diversified,6.0,2.0,4.0,,,0.3333333333333333
Dun & Bradstreet,15.0,20.0,,,Information Services,Financial,20.0,15.0,17.5,,,0.75
Experian PLC,15.0,2.5,,,Information Services,Financial,2.5,15.0,8.75,,,6.0
Fitch Ratings,12.0,0.0,,,Information Services,Financial,0.0,12.0,6.0,,,
Ipreo Holdings LLC,24.0,8.0,,,Information Services,Financial,8.0,24.0,16.0,,,3.0
NASDAQ,15.0,0.0,,,Information Services,Financial,0.0,15.0,7.5,,,
TransUnion,17.0,0.0,,,Information Services,Financial,0.0,17.0,8.5,,,
Bloomberg BNA,12.0,10.0,,,Information Services,Legal,10.0,12.0,11.0,,,1.2
1010data,12.0,8.0,,,Information Services,Technology,8.0,12.0,10.0,,,1.5
Avanade,16.0,1.5,,,Information Services,Technology,1.5,16.0,8.75,,,10.666666666666666
Cloudreach,12.0,0.0,,,Information Services,Technology,0.0,12.0,6.0,,,
Dataminr,16.0,0.0,,,Information Services,Technology,0.0,16.0,8.0,,,
Dell Boomi,12.0,,12.0,,Information Services,Technology,,12.0,12.0,0.0,,
"DoubleVerify, Inc.",10.0,8.0,,,Information Services,Technology,8.0,10.0,9.0,,,1.25
Emids,5.0,0.0,,,Information Services,Technology,0.0,5.0,2.5,,,
Equian,3.0,3.0,,,Information Services,Technology,3.0,3.0,3.0,,,1.0
Eras Tech,26.0,0.0,,,Information Services,Technology,0.0,26.0,13.0,,,
Gartner,12.0,0.0,,,Information Services,Technology,0.0,12.0,6.0,,,
Google Cloud,18.5,32.5,,,Information Services,Technology,32.5,18.5,25.5,,,0.5692307692307692
HealthStream,6.0,12.0,,,Information Services,Technology,12.0,6.0,9.0,,,0.5
Hitachi Vantara,12.0,0.0,,,Information Services,Technology,0.0,12.0,6.0,,,
Infolock,12.0,0.0,,,Information Services,Technology,0.0,12.0,6.0,,,
Infosys,1.5,1.0,,,Information Services,Technology,1.0,1.5,1.25,,,1.5
J2 Global,16.0,0.0,,,Information Services,Technology,0.0,16.0,8.0,,,
LeverX,52.0,0.0,,,Information Services,Technology,0.0,52.0,26.0,,,
LexisNexis,14.0,0.0,,,Information Services,Technology,0.0,14.0,7.0,,,
Lloyd Group,3.0,0.0,,,Information Services,Technology,0.0,3.0,1.5,,,
LMT Technology Solutions,12.0,0.0,,,Information Services,Technology,0.0,12.0,6.0,,,
Microsoft Azure,16.0,4.0,,,Information Services,Technology,4.0,16.0,10.0,,,4.0
NetImpact Strategies,4.0,12.0,,,Information Services,Technology,12.0,4.0,8.0,,,0.3333333333333333
Newfold Digital,12.0,12.0,,,Information Services,Technology,12.0,12.0,12.0,,,1.0
Niche,4.0,12.0,,,Information Services,Technology,12.0,4.0,8.0,,,0.3333333333333333
NielsenIQ,20.0,0.0,,,Information Services,Technology,0.0,20.0,10.0,,,
OM1,4.0,0.0,,,Information Services,Technology,0.0,4.0,2.0,,,
OPTIMIZERx Corporation,4.0,8.0,,,Information Services,Technology,8.0,4.0,6.0,,,0.5
PatientPop,12.0,12.0,,,Information Services,Technology,12.0,12.0,12.0,,,1.0
Publicis Sapient,12.0,4.0,,,Information Services,Technology,4.0,12.0,8.0,,,3.0
Remind,16.0,0.0,,,Information Services,Technology,0.0,16.0,8.0,,,
RF Code,6.0,6.0,,,Information Services,Technology,6.0,6.0,6.0,,,1.0
Siemens Healthineers,12.0,0.0,,,Information Services,Technology,0.0,12.0,6.0,,,
Smarsh,2.0,4.0,,,Information Services,Technology,4.0,2.0,3.0,,,0.5
SpotX,9.0,6.0,,,Information Services,Technology,6.0,9.0,7.5,,,1.5
Surescripts,10.0,2.0,,,Information Services,Technology,2.0,10.0,6.0,,,5.0
The Gordian Group,8.0,12.0,,,Information Services,Technology,12.0,8.0,10.0,,,0.6666666666666666
TriNet,12.0,4.0,,,Information Services,Technology,4.0,12.0,8.0,,,3.0
Verisk Analytics,10.0,4.0,,,Information Services,Technology,4.0,10.0,7.0,,,2.5
VTS,18.0,0.0,,,Information Services,Technology,0.0,18.0,9.0,,,
WP Engine,16.0,0.0,,,Information Services,Technology,0.0,16.0,8.0,,,
ZoomInfo,12.0,0.0,,,Information Services,Technology,0.0,12.0,6.0,,,
Marsh & McLennan Agency,2.0,10.0,,,Insurance,,10.0,2.0,6.0,,,0.2
Hub International,6.0,4.0,,,Insurance,Brokerage,4.0,6.0,5.0,,,1.5
USI Insurance Services,2.0,10.0,,,Insurance,Brokerage,10.0,2.0,6.0,,,0.2
Willis Towers Watson,4.0,12.5,,,Insurance,Brokerage,12.5,4.0,8.25,,,0.32
AmeriTrust Group,4.0,8.0,,,Insurance,Diversified,8.0,4.0,6.0,,,0.5
Aspen Insurance Holdings Limited,16.0,0.0,,,Insurance,Diversified,0.0,16.0,8.0,,,
CUNA Mutual Group,8.0,,12.0,,Insurance,Diversified,,10.0,10.0,-4.0,,
First American,6.0,12.0,,,Insurance,Diversified,12.0,6.0,9.0,,,0.5
Hiscox,12.0,0.0,,,Insurance,Diversified,0.0,12.0,6.0,,,
IAG Limited,12.0,40.0,,,Insurance,Diversified,40.0,12.0,26.0,,,0.3
Lockton Companies Inc.,12.0,0.0,,,Insurance,Diversified,0.0,12.0,6.0,,,
MassMutual,8.0,12.0,,,Insurance,Diversified,12.0,8.0,10.0,,,0.6666666666666666
MJ Insurance,2.0,10.0,,,Insurance,Diversified,10.0,2.0,6.0,,,0.2
Sana Benefits,13.0,13.0,,,Insurance,Diversified,13.0,13.0,13.0,,,1.0
Sun Life Financial,16.0,0.0,,,Insurance,Diversified,0.0,16.0,8.0,,,
The McGowan Companies Inc.,12.0,12.0,,,Insurance,Diversified,12.0,12.0,12.0,,,1.0
Trustmark Companies,6.0,6.0,,,Insurance,Diversified,6.0,6.0,6.0,,,1.0
Anthem,0.0,6.0,,,Insurance,Health,6.0,0.0,3.0,,,0.0
Blue Cross and Blue Shield of Texas,6.0,0.0,,,Insurance,Health,0.0,6.0,3.0,,,
Blue Cross Blue Shield of Alabama,6.0,6.0,,,Insurance,Health,6.0,6.0,6.0,,,1.0
Cambia Health Solutions,12.0,0.0,,,Insurance,Health,0.0,12.0,6.0,,,
CareFirst,6.0,5.0,,,Insurance,Health,5.0,6.0,5.5,,,1.2
CareSource,12.0,0.0,,,Insurance,Health,0.0,12.0,6.0,,,
Centene Corporation,3.0,7.5,,,Insurance,Health,7.5,3.0,5.25,,,0.4
CIGNA Corporation,6.0,4.0,,,Insurance,Health,4.0,6.0,5.0,,,1.5
Clover Health,6.0,8.0,,,Insurance,Health,8.0,6.0,7.0,,,0.75
Delta Dental Ins,6.0,8.0,,,Insurance,Health,8.0,6.0,7.0,,,0.75
GoHealth,6.0,6.0,,,Insurance,Health,6.0,6.0,6.0,,,1.0
Independence Blue Cross,12.0,7.0,,,Insurance,Health,7.0,12.0,9.5,,,1.7142857142857142
Oscar Health,16.0,0.0,,,Insurance,Health,0.0,16.0,8.0,,,
Premera Blue Cross,12.0,0.0,,,Insurance,Health,0.0,12.0,6.0,,,
UCare,12.0,5.0,,,Insurance,Health,5.0,12.0,8.5,,,2.4
UnitedHealthcare,4.0,4.0,,,Insurance,Health,4.0,4.0,4.0,,,1.0
WellCare Health Plans,6.0,6.0,,,Insurance,Health,6.0,6.0,6.0,,,1.0
American Income Life,52.0,0.0,,,Insurance,Life,0.0,52.0,26.0,,,
"Genworth Financial, Inc.",12.0,0.0,,,Insurance,Life,0.0,12.0,6.0,,,
GuardianLife,7.0,7.0,,,Insurance,Life,7.0,7.0,7.0,,,1.0
MetLife,5.0,0.0,,,Insurance,Life,0.0,5.0,2.5,,,
National Benefit Life Insurance,13.0,15.0,,,Insurance,Life,15.0,13.0,14.0,,,0.8666666666666667
New York Life Insurance Company,12.0,12.0,,,Insurance,Life,12.0,12.0,12.0,,,1.0
Prudential Financial,10.0,16.0,,,Insurance,Life,16.0,10.0,13.0,,,0.625
Unum,6.0,23.0,,,Insurance,Life,23.0,6.0,14.5,,,0.2608695652173913
Allstate Insurance Company,6.0,0.0,,,Insurance,Property and Casualty,0.0,6.0,3.0,,,
American Family Insurance,12.0,2.0,,,Insurance,Property and Casualty,2.0,12.0,7.0,,,6.0
"Assurant, Inc.",4.0,2.0,,,Insurance,Property and Casualty,2.0,4.0,3.0,,,2.0
Farmers Insurance,12.0,16.0,,,Insurance,Property and Casualty,16.0,12.0,14.0,,,0.75
FM Global,4.0,2.0,,,Insurance,Property and Casualty,2.0,4.0,3.0,,,2.0
GEICO,10.0,0.0,,,Insurance,Property and Casualty,0.0,10.0,5.0,,,
IAT Insurance Group,2.0,12.0,,,Insurance,Property and Casualty,12.0,2.0,7.0,,,0.16666666666666666
Intact Financial Corporation,52.0,0.0,,,Insurance,Property and Casualty,0.0,52.0,26.0,,,
Liberty Mutual Insurance,16.0,0.0,,,Insurance,Property and Casualty,0.0,16.0,8.0,,,
Progressive Corporation,7.5,16.0,,,Insurance,Property and Casualty,16.0,7.5,11.75,,,0.46875
Selective Insurance,2.0,12.0,,,Insurance,Property and Casualty,12.0,2.0,7.0,,,0.16666666666666666
The Hartford,4.5,6.0,,,Insurance,Property and Casualty,6.0,4.5,5.25,,,0.75
Travelers,2.0,8.0,,,Insurance,Property and Casualty,8.0,2.0,5.0,,,0.25
Guy Carpenter,8.0,12.0,,,Insurance,Reinsurance,12.0,8.0,10.0,,,0.6666666666666666
Burr & Forman LLP,4.0,4.0,,,Law Firm,,4.0,4.0,4.0,,,1.0
Cleary Gottlieb Steen & Hamilton LLP,16.0,26.0,,,Law Firm,,26.0,16.0,21.0,,,0.6153846153846154
Cooley LLP,24.0,12.0,,,Law Firm,,12.0,24.0,18.0,,,2.0
"Correia & Puth, PLLC",6.0,10.0,,,Law Firm,,10.0,6.0,8.0,,,0.6
Covington & Burling LLP,16.0,0.0,,,Law Firm,,0.0,16.0,8.0,,,
Crowell & Moring,4.0,0.0,,,Law Firm,,0.0,4.0,2.0,,,
Davis & Santos,3.0,2.0,,,Law Firm,,2.0,3.0,2.5,,,1.5
Desmarais LLP,12.0,0.0,,,Law Firm,,0.0,12.0,6.0,,,
Entwistle & Cappucci LLC,8.0,10.0,,,Law Firm,,10.0,8.0,9.0,,,0.8
Fox Rothschild LLP,12.0,0.0,,,Law Firm,,0.0,12.0,6.0,,,
Fragomen,6.0,6.0,,,Law Firm,,6.0,6.0,6.0,,,1.0
Hogan Lovells,20.0,6.0,,,Law Firm,,6.0,20.0,13.0,,,3.3333333333333335
Hudson Cook,6.0,0.0,,,Law Firm,,0.0,6.0,3.0,,,
Kirkland & Ellis LLP,18.0,0.0,,,Law Firm,,0.0,18.0,9.0,,,
Latham & Watkins LLP,12.0,0.0,,,Law Firm,,0.0,12.0,6.0,,,
Lathrop GPM LLP,16.0,0.0,,,Law Firm,,0.0,16.0,8.0,,,
Linklaters LLP,18.0,0.0,,,Law Firm,,0.0,18.0,9.0,,,
Littler Mendelson P.C.,12.0,0.0,,,Law Firm,,0.0,12.0,6.0,,,
"Manatt, Phelps & Phillips, LLP",12.0,29.0,,,Law Firm,,29.0,12.0,20.5,,,0.41379310344827586
Mayer Brown,0.0,,0.0,,Law Firm,,,0.0,0.0,0.0,,
McLane Middleton PA,6.0,6.0,,,Law Firm,,6.0,6.0,6.0,,,1.0
Mintz Levin Cohn Ferris Glovsky and Popeo PC,17.0,0.0,,,Law Firm,,0.0,17.0,8.5,,,
Schlam Stone & Dolan,12.0,4.0,,,Law Firm,,4.0,12.0,8.0,,,3.0
Simpson Thacher & Bartlett LLP,16.0,10.0,,,Law Firm,,10.0,16.0,13.0,,,1.6
Veritas Law,52.0,0.0,,,Law Firm,,0.0,52.0,26.0,,,
Wynyard Wood,26.0,52.0,,,Law Firm,,52.0,26.0,39.0,,,0.5
HBR Consulting,4.0,3.0,,,Legal Services,,3.0,4.0,3.5,,,1.3333333333333333
Cruise Planners,3.0,0.0,,,"Leisure, Travel and Tourism",,0.0,3.0,1.5,,,
Royal Caribbean International,4.0,2.0,,,"Leisure, Travel and Tourism",,2.0,4.0,3.0,,,2.0
VRBO,18.0,0.0,,,"Leisure, Travel and Tourism",,0.0,18.0,9.0,,,
BrightTALK,12.0,12.0,,,Media,,12.0,12.0,12.0,,,1.0
CondŽ Nast,4.0,0.0,,,Media,Diversified,0.0,4.0,2.0,,,
Meredith,12.0,12.0,,,Media,Diversified,12.0,12.0,12.0,,,1.0
NBCUniversal,16.0,4.0,,,Media,Diversified,4.0,16.0,10.0,,,4.0
Quartz,2.0,0.0,,,Media,Diversified,0.0,2.0,1.0,,,
Sky PLC,26.0,,6.0,,Media,Diversified,,16.0,16.0,20.0,,
Thomson Reuters,12.0,10.0,,,Media,Diversified,10.0,12.0,11.0,,,1.2
Townsquare Media,12.0,0.0,,,Media,Diversified,0.0,12.0,6.0,,,
Viacom Inc.,10.0,2.5,,,Media,Diversified,2.5,10.0,6.25,,,4.0
ViacomCBS,4.0,6.0,,,Media,Diversified,6.0,4.0,5.0,,,0.6666666666666666
WGBH,4.0,12.0,,,Media,Diversified,12.0,4.0,8.0,,,0.3333333333333333
Cinemark,1.0,12.0,,,Media,Entertainment,12.0,1.0,6.5,,,0.08333333333333333
Lionsgate,20.0,0.0,,,Media,Entertainment,0.0,20.0,10.0,,,
Madison Square Garden,12.0,0.0,,,Media,Entertainment,0.0,12.0,6.0,,,
Showtime,12.0,3.0,,,Media,Entertainment,3.0,12.0,7.5,,,4.0
Spins,6.0,0.0,,,Media,Magazines,0.0,6.0,3.0,,,
The Atlantic,12.0,4.0,,,Media,Magazines,4.0,12.0,8.0,,,3.0
Business Insider,12.0,0.0,,,Media,News,0.0,12.0,6.0,,,
Dow Jones,20.0,12.0,,,Media,News,12.0,20.0,16.0,,,1.6666666666666667
Forbes,12.0,0.0,,,Media,News,0.0,12.0,6.0,,,
Gannett,2.0,12.0,,,Media,News,12.0,2.0,7.0,,,0.16666666666666666
New York Times,16.0,16.0,,,Media,News,16.0,16.0,16.0,,,1.0
The New York Times Company,20.0,20.0,,,Media,News,20.0,20.0,20.0,,,1.0
Washington Post,18.0,0.0,,,Media,News,0.0,18.0,9.0,,,
Public Broadcasting Service,12.0,0.0,,,Media,Television,0.0,12.0,6.0,,,
Sinclair Broadcast Group,6.0,0.0,,,Media,Television,0.0,6.0,3.0,,,
ASML,52.0,40.0,,,Electronics,,40.0,52.0,46.0,,,1.3
INK Communications Co.,10.0,2.0,,,Public Relations,,2.0,10.0,6.0,,,5.0
Rokt,15.0,0.0,,,Technology,Software,0.0,15.0,7.5,,,
Bunge North America,0.0,6.0,,,Natural Resources,Agriculture and Food Processing,6.0,0.0,3.0,,,0.0
Pilgrim's Pride,6.0,0.0,,,Natural Resources,Agriculture and Food Processing,0.0,6.0,3.0,,,
Tate & Lyle,20.5,13.0,,,Natural Resources,Agriculture and Food Processing,13.0,20.5,16.75,,,1.5769230769230769
CHS Inc.,0.0,16.0,,,Natural Resources,Agrochemical,16.0,0.0,8.0,,,0.0
"Air Products & Chemicals, Inc.",4.0,8.0,,,Natural Resources,Chemicals,8.0,4.0,6.0,,,0.5
AkzoNobel Global,12.0,12.0,,,Natural Resources,Chemicals,12.0,12.0,12.0,,,1.0
Albemarle Corporation,7.0,5.0,,,Natural Resources,Chemicals,5.0,7.0,6.0,,,1.4
"Ashland, Inc.",6.0,18.0,,,Natural Resources,Chemicals,18.0,6.0,12.0,,,0.3333333333333333
DuPont,16.0,12.0,,,Natural Resources,Chemicals,12.0,16.0,14.0,,,1.3333333333333333
Eastman Chemical Company,4.0,6.0,,,Natural Resources,Chemicals,6.0,4.0,5.0,,,0.6666666666666666
LyondellBasell,0.0,12.0,,,Natural Resources,Chemicals,12.0,0.0,6.0,,,0.0
"Nalco, An Ecolab Company",24.0,0.0,,,Natural Resources,Chemicals,0.0,24.0,12.0,,,
Nutrien,12.0,26.0,,,Natural Resources,Chemicals,26.0,12.0,19.0,,,0.46153846153846156
Solvay S.A.,16.0,12.0,,,Natural Resources,Chemicals,12.0,16.0,14.0,,,1.3333333333333333
Syngenta Flowers,6.0,0.0,,,Natural Resources,Chemicals,0.0,6.0,3.0,,,
CLEAResult,2.0,10.0,,,Natural Resources,Diversified Energy,10.0,2.0,6.0,,,0.2
Consolidated Edison Inc.,10.0,16.0,,,Natural Resources,Diversified Energy,16.0,10.0,13.0,,,0.625
Entergy Corporation,6.0,0.0,,,Natural Resources,Diversified Energy,0.0,6.0,3.0,,,
"NRG Energy, Inc.",6.0,6.0,,,Natural Resources,Diversified Energy,6.0,6.0,6.0,,,1.0
Eversource,8.0,4.0,,,Natural Resources,Electric and Gas Utility,4.0,8.0,6.0,,,2.0
GE Power,24.0,20.0,,,Natural Resources,Electric and Gas Utility,20.0,24.0,22.0,,,1.2
National Grid plc,26.0,13.0,,,Natural Resources,Electric and Gas Utility,13.0,26.0,19.5,,,2.0
NiSource,26.0,26.0,,,Natural Resources,Electric and Gas Utility,26.0,26.0,26.0,,,1.0
Sempra Energy,12.0,0.0,,,Natural Resources,Electric and Gas Utility,0.0,12.0,6.0,,,
Williams,10.5,0.0,,,Natural Resources,Electric and Gas Utility,0.0,10.5,5.25,,,
"American Electric Power Company, Inc.",8.0,,2.0,,Natural Resources,Electric Power Generation,,5.0,5.0,6.0,,
Duke Energy,13.0,1.5,,,Natural Resources,Electric Power Generation,1.5,13.0,7.25,,,8.666666666666666
Exelon Corporation,16.0,24.0,,,Natural Resources,Electric Power Generation,24.0,16.0,20.0,,,0.6666666666666666
Pacific Gas and Electric Company,12.0,26.0,,,Natural Resources,Electric Power Generation,26.0,12.0,19.0,,,0.46153846153846156
Southern California Edison,8.0,12.0,,,Natural Resources,Electric Power Generation,12.0,8.0,10.0,,,0.6666666666666666
Freeport-McMoRan,26.0,0.0,,,Natural Resources,Metals and Mining,0.0,26.0,13.0,,,
Novelis,8.0,0.0,,,Natural Resources,Metals and Mining,0.0,8.0,4.0,,,
"Enbridge, Inc.",6.0,12.0,,,Natural Resources,Oil and Gas,12.0,6.0,9.0,,,0.5
ExxonMobil,8.0,0.0,,,Natural Resources,Oil and Gas,0.0,8.0,4.0,,,
Marathon Petroleum Corporation,8.0,0.0,,,Natural Resources,Oil and Gas,0.0,8.0,4.0,,,
Shell Oil Company,16.0,4.0,,,Natural Resources,Oil and Gas,4.0,16.0,10.0,,,4.0
"T.D. Williamson, Inc.",6.0,6.0,,,Natural Resources,Oil and Gas,6.0,6.0,6.0,,,1.0
ASRC Energy Services,12.0,0.0,,,Natural Resources,Oilfield Services,0.0,12.0,6.0,,,
Baker Hughes,8.0,0.0,,,Natural Resources,Oilfield Services,0.0,8.0,4.0,,,
Schlumberger,11.0,12.0,,,Natural Resources,Oilfield Services,12.0,11.0,11.5,,,0.9166666666666666
Save the Children,5.0,0.0,,,Nonprofit,Charity,0.0,5.0,2.5,,,
The Pew Charitable Trusts,6.0,6.0,,,Nonprofit,Charity,6.0,6.0,6.0,,,1.0
World Vision,52.0,0.0,,,Nonprofit,Charity,0.0,52.0,26.0,,,
AARP,6.0,6.0,,,Nonprofit,Civic and Social,6.0,6.0,6.0,,,1.0
Convergence,26.0,26.0,,,Nonprofit,Civic and Social,26.0,26.0,26.0,,,1.0
Enterprise Community Partners,12.0,0.0,,,Nonprofit,Civic and Social,0.0,12.0,6.0,,,
Help USA,12.0,12.0,,,Nonprofit,Civic and Social,12.0,12.0,12.0,,,1.0
National Partnership for Women & Families,15.0,0.0,,,Nonprofit,Civic and Social,0.0,15.0,7.5,,,
Project Renewal,0.0,0.0,,,Nonprofit,Civic and Social,0.0,0.0,0.0,,,
uAspire,2.0,20.0,,,Nonprofit,Civic and Social,20.0,2.0,11.0,,,0.1
Washburn Center For Children,52.0,2.0,,,Nonprofit,Civic and Social,2.0,52.0,27.0,,,26.0
Endeavor,16.0,0.0,,,Nonprofit,Development,0.0,16.0,8.0,,,
Achievement Network,12.0,4.0,,,Nonprofit,Education,4.0,12.0,8.0,,,3.0
Start Early,24.0,,24.0,,Nonprofit,Education,,24.0,24.0,0.0,,
Teach for America,12.0,0.0,,,Nonprofit,Education,0.0,12.0,6.0,,,
Wildwood Programs,12.0,0.0,,,Nonprofit,Education,0.0,12.0,6.0,,,
Environmental Defense Fund,8.0,16.0,,,Nonprofit,Environmental Organization,16.0,8.0,12.0,,,0.5
Natural Resources Defense Council,15.0,9.0,,,Nonprofit,Environmental Organization,9.0,15.0,12.0,,,1.6666666666666667
The Nature Conservancy,6.0,6.0,,,Nonprofit,Environmental Organization,6.0,6.0,6.0,,,1.0
Financial Industry Regulatory Authority,12.0,0.0,,,Nonprofit,Finance,0.0,12.0,6.0,,,
Financial Ombudsman Service,26.0,12.0,,,Nonprofit,Finance,12.0,26.0,19.0,,,2.1666666666666665
Harvard Pilgrim Health Care,4.0,0.0,,,Nonprofit,Healthcare,0.0,4.0,2.0,,,
Jewish Board of Family and Children's Services,12.0,0.0,,,Nonprofit,Healthcare,0.0,12.0,6.0,,,
Planned Parenthood,6.0,6.0,,,Nonprofit,Healthcare,6.0,6.0,6.0,,,1.0
Sanford Health,4.0,4.0,,,Nonprofit,Healthcare,4.0,4.0,4.0,,,1.0
SWOG,6.0,6.0,,,Nonprofit,Healthcare,6.0,6.0,6.0,,,1.0
The Task Force For Global Health,0.0,12.0,,,Nonprofit,Healthcare,12.0,0.0,6.0,,,0.0
American Red Cross,8.0,8.0,,,Nonprofit,Humanitarian Aid Organization,8.0,8.0,8.0,,,1.0
International Justice Mission,12.0,12.0,,,Nonprofit,Legal,12.0,12.0,12.0,,,1.0
Legal Aid Society - Employment Law Center,12.0,52.0,,,Nonprofit,Legal,52.0,12.0,32.0,,,0.23076923076923078
Center for Reproductive Rights,12.0,4.0,,,Nonprofit,Legal Services,4.0,12.0,8.0,,,3.0
Legal Aid of North Carolina,6.0,6.0,,,Nonprofit,Legal Services,6.0,6.0,6.0,,,1.0
Westbank Community Library,12.0,0.0,,,Nonprofit,Libraries,0.0,12.0,6.0,,,
Camden Coalition of Healthcare Providers,4.0,12.0,,,Nonprofit,Medical,12.0,4.0,8.0,,,0.3333333333333333
"MOXI, The Wolf Museum of Exploration + Innovation",1.0,12.0,,,Nonprofit,Museums,12.0,1.0,6.5,,,0.08333333333333333
The Field Museum,8.0,4.0,,,Nonprofit,Museums,4.0,8.0,6.0,,,2.0
The World Economic Forum,12.0,6.0,,,Nonprofit,Political Organization,6.0,12.0,9.0,,,2.0
Archdiocese of Chicago,12.0,12.0,,,Nonprofit,Religious,12.0,12.0,12.0,,,1.0
Battelle Memorial Institute,6.0,0.0,,,Nonprofit,Research,0.0,6.0,3.0,,,
Charles Stark Draper Laboratory,12.0,0.0,,,Nonprofit,Research,0.0,12.0,6.0,,,
"Education Development Center, Inc.",12.0,0.0,,,Nonprofit,Research,0.0,12.0,6.0,,,
HopeLab,16.0,0.0,,,Nonprofit,Research,0.0,16.0,8.0,,,
RTI International,6.0,6.0,,,Nonprofit,Research,6.0,6.0,6.0,,,1.0
The Leukemia & Lymphoma Society,3.0,9.0,,,Nonprofit,Research,9.0,3.0,6.0,,,0.3333333333333333
American Chemical Society,8.0,12.0,,,Nonprofit,Science and Technology,12.0,8.0,10.0,,,0.6666666666666666
AICPA,10.0,0.0,,,Nonprofit,Trade Organization,0.0,10.0,5.0,,,
The Georgia Society of CPAs,8.0,4.0,,,Nonprofit,Trade Organization,4.0,8.0,6.0,,,2.0
American Canning,6.0,6.0,,,Packaging,,6.0,6.0,6.0,,,1.0
Avery Dennison,9.0,0.0,,,Packaging,,0.0,9.0,4.5,,,
AbbVie Inc.,12.0,12.0,,,Pharmaceutical,,12.0,12.0,12.0,,,1.0
Agios Pharmaceuticals,8.0,0.0,,,Pharmaceutical,,0.0,8.0,4.0,,,
AstraZeneca,6.0,52.0,,,Pharmaceutical,,52.0,6.0,29.0,,,0.11538461538461539
Bayer AG,4.0,12.0,,,Pharmaceutical,,12.0,4.0,8.0,,,0.3333333333333333
Bayer HealthCare Pharmaceuticals,4.0,1.0,,,Pharmaceutical,,1.0,4.0,2.5,,,4.0
Envigo,6.0,0.0,,,Pharmaceutical,,0.0,6.0,3.0,,,
Ferring Pharmaceuticals,8.0,8.0,,,Pharmaceutical,,8.0,8.0,8.0,,,1.0
Kite Pharma,12.0,0.0,,,Pharmaceutical,,0.0,12.0,6.0,,,
"Merck & Co., Inc.",9.0,8.0,,,Pharmaceutical,,8.0,9.0,8.5,,,1.125
Novartis,13.0,6.0,,,Pharmaceutical,,6.0,13.0,9.5,,,2.1666666666666665
Oceanic Pharmachem Pvt. Ltd.,12.0,14.0,,,Pharmaceutical,,14.0,12.0,13.0,,,0.8571428571428571
Otsuka Pharmaceutical,8.0,0.0,,,Pharmaceutical,,0.0,8.0,4.0,,,
Pfizer,12.0,12.0,,,Pharmaceutical,,12.0,12.0,12.0,,,1.0
Reata Pharmaceuticals,6.0,6.0,,,Pharmaceutical,,6.0,6.0,6.0,,,1.0
Recursion Pharmaceuticals,12.0,0.0,,,Pharmaceutical,,0.0,12.0,6.0,,,
Syneos Health,14.0,38.0,,,Pharmaceutical,,38.0,14.0,26.0,,,0.3684210526315789
Express Scripts Holding,2.0,6.0,,,Pharmacies and Drug Stores,,6.0,2.0,4.0,,,0.3333333333333333
OptumRx,12.0,12.0,,,Pharmacies and Drug Stores,,12.0,12.0,12.0,,,1.0
Chan Zuckerberg Initiative,16.0,4.0,,,Philanthropy,,4.0,16.0,10.0,,,4.0
Harold Grinspoon Foundation,13.0,12.0,,,Philanthropy,,12.0,13.0,12.5,,,1.0833333333333333
Open Society Foundations,25.0,13.0,,,Philanthropy,,13.0,25.0,19.0,,,1.9230769230769231
W. K. Kellogg Foundation,32.0,0.0,,,Philanthropy,,0.0,32.0,16.0,,,
BCW,4.0,0.0,,,Public Relations,,0.0,4.0,2.0,,,
Curley & Pynn,6.0,0.0,,,Public Relations,,0.0,6.0,3.0,,,
Edelman,12.0,0.0,,,Public Relations,,0.0,12.0,6.0,,,
Golin,8.0,27.0,,,Public Relations,,27.0,8.0,17.5,,,0.2962962962962963
MWWPR,12.0,,12.0,,Public Relations,,,12.0,12.0,0.0,,
Virgo Health,4.0,2.0,,,Public Relations,,2.0,4.0,3.0,,,2.0
American City Business Journals,12.0,0.0,,,Publishing,,0.0,12.0,6.0,,,
Axel Springer,16.0,52.0,,,Publishing,,52.0,16.0,34.0,,,0.3076923076923077
Curriculum Associates,12.0,0.0,,,Publishing,,0.0,12.0,6.0,,,
Macmillan Learning,14.0,0.0,,,Publishing,,0.0,14.0,7.0,,,
